"Participant_Number","TC_factor","CondShort","mean","WidthGroup","ExpectedGroup"
75,"High","DN",0.869565217391304,"narrow","low"
75,"High","IW",0.827586206896552,"wide","high"
75,"High","Constant",0.857142857142857,"controls","high"
75,"High","Single",0.782608695652174,"controls","low"
75,"High","IN",0.863636363636364,"narrow","high"
75,"High","DW",0.829787234042553,"wide","low"
75,"Medium","DN",0.6,"narrow","low"
75,"Medium","DW",0.326530612244898,"wide","low"
75,"Medium","IW",0.534883720930233,"wide","high"
75,"Low","DN",0.25,"narrow","low"
75,"Medium","Constant",0.758620689655172,"controls","high"
75,"Medium","Single",0.666666666666667,"controls","low"
75,"Low","IW",0.371428571428571,"wide","high"
75,"Low","Constant",0.397058823529412,"controls","high"
75,"Medium","IN",0.574468085106383,"narrow","high"
75,"Low","DW",0.125,"wide","low"
75,"Low","Single",0.256410256410256,"controls","low"
75,"Low","IN",0.310344827586207,"narrow","high"
76,"High","IW",0.904761904761905,"wide","high"
76,"High","IN",0.846153846153846,"narrow","high"
76,"High","Single",0.863636363636364,"controls","low"
76,"High","DW",0.669811320754717,"wide","low"
76,"High","DN",0.813559322033898,"narrow","low"
76,"High","Constant",0.894736842105263,"controls","high"
76,"Medium","IN",0.597014925373134,"narrow","high"
76,"Medium","IW",0.75609756097561,"wide","high"
76,"Medium","Constant",0.569767441860465,"controls","high"
76,"Low","IW",0.391752577319588,"wide","high"
76,"Low","Constant",0.214285714285714,"controls","high"
76,"Medium","DN",0.48,"narrow","low"
76,"Medium","Single",0.560975609756098,"controls","low"
76,"Low","IN",0.326923076923077,"narrow","high"
76,"Medium","DW",0.296296296296296,"wide","low"
76,"Low","DN",0.2,"narrow","low"
76,"Low","Single",0.2,"controls","low"
76,"Low","DW",0,"wide","low"
77,"High","IN",0.909090909090909,"narrow","high"
77,"High","Constant",1,"controls","high"
77,"High","IW",0.923076923076923,"wide","high"
77,"High","Single",0.771428571428571,"controls","low"
77,"High","DN",1,"narrow","low"
77,"Medium","IN",0.615384615384615,"narrow","high"
77,"High","DW",0.870967741935484,"wide","low"
77,"Low","IN",0.503225806451613,"narrow","high"
77,"Medium","DN",0.680851063829787,"narrow","low"
77,"Medium","Constant",0.80952380952381,"controls","high"
77,"Medium","IW",0.64,"wide","high"
77,"Low","IW",0.442477876106195,"wide","high"
77,"Low","Constant",0.466216216216216,"controls","high"
77,"Medium","Single",0.534246575342466,"controls","low"
77,"Medium","DW",0.592592592592593,"wide","low"
77,"Low","DW",0.301587301587302,"wide","low"
77,"Low","Single",0.405797101449275,"controls","low"
77,"Low","DN",0.418803418803419,"narrow","low"
78,"High","DN",0.925925925925926,"narrow","low"
78,"High","IN",0.870967741935484,"narrow","high"
78,"High","IW",0.954545454545455,"wide","high"
78,"High","DW",0.741573033707865,"wide","low"
78,"High","Single",0.862745098039216,"controls","low"
78,"Medium","IW",0.63265306122449,"wide","high"
78,"High","Constant",0.958333333333333,"controls","high"
78,"Medium","DN",0.703703703703704,"narrow","low"
78,"Medium","DW",0.338983050847458,"wide","low"
78,"Low","DN",0.380281690140845,"narrow","low"
78,"Medium","IN",0.640625,"narrow","high"
78,"Low","IW",0.547619047619048,"wide","high"
78,"Medium","Single",0.48,"controls","low"
78,"Low","IN",0.37037037037037,"narrow","high"
78,"Medium","Constant",0.719298245614035,"controls","high"
78,"Low","Constant",0.391891891891892,"controls","high"
78,"Low","Single",0.192307692307692,"controls","low"
78,"Low","DW",0,"wide","low"
81,"High","Constant",1,"controls","high"
81,"High","DW",0.901960784313726,"wide","low"
81,"High","IN",0.941176470588235,"narrow","high"
81,"High","Single",1,"controls","low"
81,"High","IW",0.885714285714286,"wide","high"
81,"High","DN",0.96969696969697,"narrow","low"
81,"Medium","IW",0.583333333333333,"wide","high"
81,"Medium","Single",0.666666666666667,"controls","low"
81,"Medium","IN",0.777777777777778,"narrow","high"
81,"Low","IN",0.467289719626168,"narrow","high"
81,"Low","Single",0.265625,"controls","low"
81,"Low","IW",0.507246376811594,"wide","high"
81,"Medium","DN",0.771428571428571,"narrow","low"
81,"Medium","DW",0.527472527472527,"wide","low"
81,"Low","DW",0,"wide","low"
81,"Medium","Constant",0.822222222222222,"controls","high"
81,"Low","Constant",0.378378378378378,"controls","high"
81,"Low","DN",0.454545454545455,"narrow","low"
82,"High","IN",0.956521739130435,"narrow","high"
82,"High","DN",0.8125,"narrow","low"
82,"High","IW",0.85,"wide","high"
82,"High","Single",1,"controls","low"
82,"High","Constant",1,"controls","high"
82,"High","DW",0.861111111111111,"wide","low"
82,"Medium","IN",0.507042253521127,"narrow","high"
82,"Medium","Single",0.671052631578947,"controls","low"
82,"Medium","IW",0.538461538461538,"wide","high"
82,"Low","Single",0.329411764705882,"controls","low"
82,"Low","IN",0.433734939759036,"narrow","high"
82,"Medium","DN",0.48314606741573,"narrow","low"
82,"Medium","Constant",0.853658536585366,"controls","high"
82,"Low","DN",0.436363636363636,"narrow","low"
82,"Medium","DW",0.546511627906977,"wide","low"
82,"Low","Constant",0.403225806451613,"controls","high"
82,"Low","IW",0.444444444444444,"wide","high"
82,"Low","DW",0.267857142857143,"wide","low"
83,"High","DW",0.666666666666667,"wide","low"
83,"High","DN",0.719512195121951,"narrow","low"
83,"High","IW",0.75,"wide","high"
83,"High","Constant",0.703125,"controls","high"
83,"High","IN",0.705882352941177,"narrow","high"
83,"High","Single",0.72,"controls","low"
83,"Medium","DN",0.571428571428571,"narrow","low"
83,"Medium","IW",0.571428571428571,"wide","high"
83,"Medium","Constant",0.622222222222222,"controls","high"
83,"Medium","DW",0.333333333333333,"wide","low"
83,"Medium","Single",0.473684210526316,"controls","low"
83,"Low","Constant",0.365853658536585,"controls","high"
83,"Low","DN",0.230769230769231,"narrow","low"
83,"Medium","IN",0.577777777777778,"narrow","high"
83,"Low","IN",0.454545454545455,"narrow","high"
83,"Low","IW",0.418181818181818,"wide","high"
83,"Low","Single",0.307692307692308,"controls","low"
83,"Low","DW",0,"wide","low"
84,"High","IW",0.724137931034483,"wide","high"
84,"High","DN",0.65,"narrow","low"
84,"High","DW",0.574468085106383,"wide","low"
84,"High","Constant",0.709677419354839,"controls","high"
84,"High","IN",0.728395061728395,"narrow","high"
84,"High","Single",0.695238095238095,"controls","low"
84,"Medium","DN",0.288461538461538,"narrow","low"
84,"Medium","IW",0.323943661971831,"wide","high"
84,"Low","DN",0,"narrow","low"
84,"Medium","Single",0.306451612903226,"controls","low"
84,"Medium","DW",0.392857142857143,"wide","low"
84,"Medium","Constant",0.40625,"controls","high"
84,"Medium","IN",0.388059701492537,"narrow","high"
84,"Low","IW",0.444444444444444,"wide","high"
84,"Low","IN",0.333333333333333,"narrow","high"
84,"Low","Constant",0.0909090909090909,"controls","high"
84,"Low","Single",0,"controls","low"
84,"Low","DW",0,"wide","low"
85,"High","Constant",1,"controls","high"
85,"High","Single",1,"controls","low"
85,"High","IW",1,"wide","high"
85,"High","DN",0.928571428571429,"narrow","low"
