"Participant_Number","CondShort","overall_mean","WidthGroup","ExpectedGroup"
75,"DN",0.0093728813559322,"narrow","low"
75,"IW",0.00873831775700935,"wide","high"
75,"Constant",0.00789189189189189,"controls","high"
75,"Single",0.0102090909090909,"controls","low"
75,"IN",0.00985714285714286,"narrow","high"
75,"DW",0.0127692307692308,"wide","low"
76,"IW",0.00823899371069182,"wide","high"
76,"IN",0.0100063291139241,"narrow","high"
76,"Single",0.0108012820512821,"controls","low"
76,"DW",0.0141552795031056,"wide","low"
76,"DN",0.011280487804878,"narrow","low"
76,"Constant",0.0101867469879518,"controls","high"
77,"IN",0.00447486033519553,"narrow","high"
77,"Constant",0.00487640449438202,"controls","high"
77,"IW",0.00617613636363636,"wide","high"
77,"Single",0.00775141242937853,"controls","low"
77,"DN",0.00651123595505618,"narrow","low"
77,"DW",0.00900571428571429,"wide","low"
78,"DN",0.00897368421052632,"narrow","low"
78,"IN",0.00969127516778523,"narrow","high"
78,"IW",0.00668387096774194,"wide","high"
78,"DW",0.0131655629139073,"wide","low"
78,"Single",0.0113815789473684,"controls","low"
78,"Constant",0.00903870967741936,"controls","high"
81,"Constant",0.00906206896551724,"controls","high"
81,"DW",0.0107682926829268,"wide","low"
81,"IN",0.00635,"narrow","high"
81,"Single",0.00870833333333333,"controls","low"
81,"IW",0.008125,"wide","high"
81,"DN",0.00919310344827586,"narrow","low"
82,"IN",0.0063954802259887,"narrow","high"
82,"DN",0.00749431818181818,"narrow","low"
82,"IW",0.00644692737430168,"wide","high"
82,"Single",0.00789265536723164,"controls","low"
82,"Constant",0.00675862068965517,"controls","high"
82,"DW",0.00925842696629214,"wide","low"
83,"DW",0.0210689655172414,"wide","low"
83,"DN",0.0127770700636943,"narrow","low"
83,"IW",0.0111910828025478,"wide","high"
83,"Constant",0.01248,"controls","high"
83,"IN",0.00968152866242038,"narrow","high"
83,"Single",0.0160331125827815,"controls","low"
84,"IW",0.012125,"wide","high"
84,"DN",0.0135371428571429,"narrow","low"
84,"DW",0.0163390804597701,"wide","low"
84,"Constant",0.0127202380952381,"controls","high"
84,"IN",0.01128,"narrow","high"
84,"Single",0.0126685714285714,"controls","low"
85,"Constant",0.00646666666666667,"controls","high"
85,"Single",0.00743888888888889,"controls","low"
85,"IW",0.00551666666666667,"wide","high"
85,"DN",0.00741666666666667,"narrow","low"
85,"IN",0.00637777777777778,"narrow","high"
85,"DW",0.0103833333333333,"wide","low"
86,"IW",0.00814035087719298,"wide","high"
86,"Single",0.00925423728813559,"controls","low"
86,"IN",0.00804093567251462,"narrow","high"
86,"DW",0.0129152542372881,"wide","low"
86,"Constant",0.00867052023121387,"controls","high"
86,"DN",0.0104823529411765,"narrow","low"
