Sub_Number,StartTime,EndTime,Duration,StartX,StartY,EndX,EndY,Distance,PeakVelocity
76,10157009.0,10157016.0,8.0,960.7,510.0,977.5,516.2,0.34,46.0
76,10158199.0,10158209.0,11.0,940.2,488.4,948.4,469.2,0.5,54.0
76,10159515.0,10159657.0,143.0,939.7,490.8,938.9,487.8,0.08,1695.0
76,10159925.0,10159934.0,10.0,949.6,487.5,977.7,487.8,0.52,57.0
76,10160609.0,10160614.0,6.0,979.8,507.8,968.8,511.9,0.23,39.0
76,10161720.0,10161727.0,8.0,966.2,501.6,965.1,489.2,0.31,42.0
76,10165405.0,10165501.0,97.0,926.9,623.0,964.6,523.9,2.53,444.0
76,10166789.0,10166954.0,166.0,942.0,708.3,953.9,551.0,3.82,507.0
76,10167243.0,10167256.0,14.0,962.2,540.6,971.7,523.5,0.46,41.0
76,10169033.0,10169167.0,135.0,964.3,533.2,953.6,515.6,0.48,298.0
76,10170689.0,10170806.0,118.0,968.3,527.9,978.4,519.4,0.28,191.0
76,10171130.0,10171264.0,135.0,982.0,539.9,983.5,548.4,0.21,94.0
76,10171737.0,10171742.0,6.0,985.8,545.1,976.7,539.2,0.22,40.0
76,10172881.0,10172982.0,102.0,993.2,541.4,985.1,523.3,0.47,156.0
76,10173326.0,10173332.0,7.0,993.4,518.7,1014.2,526.8,0.43,65.0
76,10173542.0,10173551.0,10.0,1010.1,525.4,979.9,526.4,0.55,63.0
76,10174560.0,10174776.0,217.0,975.0,548.2,996.1,525.7,0.68,132.0
76,10175415.0,10175425.0,11.0,992.3,528.7,976.1,548.4,0.57,60.0
76,10176103.0,10176264.0,162.0,983.7,566.8,962.2,548.8,0.59,971.0
76,10178100.0,10178131.0,32.0,955.9,514.6,1018.3,472.7,1.55,119.0
76,10178356.0,10178521.0,166.0,1020.3,494.3,931.2,506.0,1.66,383.0
76,10180067.0,10180296.0,230.0,959.7,519.5,962.3,507.0,0.31,836.0
76,10181082.0,10181087.0,6.0,972.9,518.1,962.6,521.4,0.21,34.0
76,10181872.0,10181904.0,33.0,964.9,529.0,1037.5,475.3,1.89,122.0
76,10182121.0,10182315.0,195.0,1032.0,492.9,986.6,511.0,0.95,862.0
76,10182707.0,10182730.0,24.0,997.2,517.2,957.9,487.9,1.03,112.0
76,10182908.0,10182922.0,15.0,968.5,500.6,969.1,536.6,0.89,82.0
76,10183705.0,10183742.0,38.0,970.8,539.1,1077.1,441.2,3.13,146.0
76,10183957.0,10184089.0,133.0,1076.2,470.3,963.2,528.6,2.53,980.0
76,10184437.0,10184454.0,18.0,962.8,516.2,966.3,564.2,1.19,97.0
76,10184650.0,10184666.0,17.0,962.1,549.2,953.9,509.6,0.99,83.0
76,10185292.0,10185584.0,293.0,962.2,537.8,946.8,523.0,0.46,664.0
76,10185771.0,10185784.0,14.0,947.1,514.2,993.1,497.8,0.94,88.0
76,10186403.0,10186415.0,13.0,948.3,563.8,977.6,535.3,0.88,83.0
76,10187329.0,10187369.0,41.0,981.5,523.7,1265.1,461.2,5.42,209.0
76,10187555.0,10187738.0,184.0,1249.1,481.3,994.7,550.8,4.96,1081.0
76,10188320.0,10188334.0,15.0,974.7,508.0,975.3,546.8,0.96,81.0
76,10189272.0,10189418.0,147.0,971.2,474.9,977.6,537.1,1.55,185.0
76,10191341.0,10191364.0,24.0,952.3,536.4,1038.7,504.2,1.77,140.0
76,10191580.0,10191601.0,22.0,1016.6,514.9,937.8,536.4,1.54,120.0
76,10191646.0,10191729.0,84.0,950.1,551.8,-99.0,-99.0,-99.0,1062.0
76,10192050.0,10192057.0,8.0,982.5,528.4,962.6,532.5,0.38,50.0
76,10192991.0,10193012.0,22.0,956.6,531.8,1021.2,502.9,1.39,116.0
76,10193290.0,10193307.0,18.0,999.0,510.6,940.9,512.9,1.07,91.0
76,10194837.0,10195057.0,221.0,973.8,543.7,977.3,575.2,0.78,647.0
76,10195289.0,10195311.0,23.0,984.9,574.4,931.1,520.5,1.66,120.0
76,10195770.0,10195780.0,11.0,951.9,523.4,977.1,538.6,0.6,61.0
76,10196645.0,10196670.0,26.0,959.8,531.7,967.6,539.9,0.25,116.0
76,10196746.0,10196984.0,239.0,966.1,541.1,959.3,544.6,0.15,1130.0
76,10197589.0,10197595.0,7.0,953.6,544.7,967.6,543.8,0.26,40.0
76,10198716.0,10198894.0,179.0,963.4,544.2,962.8,539.4,0.12,448.0
76,10199362.0,10199370.0,9.0,962.6,550.3,970.3,533.0,0.45,54.0
76,10200792.0,10200798.0,7.0,960.8,540.0,962.3,529.7,0.26,43.0
76,10202169.0,10202422.0,254.0,971.5,551.7,919.1,540.7,1.0,792.0
76,10202479.0,10202506.0,28.0,920.0,546.2,1066.9,529.5,2.72,166.0
76,10202775.0,10202835.0,61.0,1068.3,547.1,-99.0,-99.0,-99.0,942.0
76,10203103.0,10203121.0,19.0,957.1,584.5,951.4,529.8,1.35,101.0
76,10203774.0,10204085.0,312.0,972.0,570.8,961.2,561.9,0.29,714.0
76,10204527.0,10204541.0,15.0,960.4,564.3,1003.8,542.2,0.96,86.0
76,10204992.0,10205002.0,11.0,997.7,549.1,973.0,535.7,0.56,58.0
76,10205965.0,10206130.0,166.0,980.1,558.9,995.9,544.4,0.46,206.0
76,10206714.0,10206747.0,34.0,991.0,536.0,942.1,531.0,0.9,170.0
76,10207930.0,10208133.0,204.0,965.8,484.3,971.1,528.6,1.11,134.0
76,10209858.0,10210034.0,177.0,956.4,550.0,867.0,553.3,1.64,671.0
76,10210145.0,10210168.0,24.0,862.6,538.3,968.8,525.0,1.97,181.0
76,10211724.0,10211882.0,159.0,970.1,554.1,973.1,574.7,0.51,412.0
76,10212232.0,10212249.0,18.0,963.0,565.9,948.6,523.1,1.09,89.0
76,10213718.0,10213919.0,202.0,963.9,562.0,962.1,569.4,0.18,630.0
76,10214261.0,10214266.0,6.0,953.9,554.0,961.7,545.8,0.25,42.0
76,10215142.0,10215286.0,145.0,973.5,559.1,996.4,545.6,0.54,1031.0
76,10216002.0,10216021.0,20.0,909.4,521.8,982.5,531.1,1.36,128.0
76,10217047.0,10217196.0,150.0,986.3,531.7,989.0,565.5,0.84,130.0
76,10218592.0,10218850.0,259.0,970.1,570.2,984.5,542.8,0.72,177.0
76,10219741.0,10219758.0,18.0,1005.4,550.7,977.1,536.2,0.63,73.0
76,10220542.0,10220718.0,177.0,990.0,577.4,925.7,581.2,1.18,666.0
76,10221699.0,10221721.0,23.0,949.7,605.4,978.7,533.9,1.83,139.0
76,10222507.0,10222695.0,189.0,974.9,565.7,1015.1,535.3,1.05,456.0
