Sub_Number,TrialStart,TrialEnd,Trial_Number,Condition,Target_Contrast
76,10156677,10157711,0,FarHighWide,0.1
76,10158513,10159615,1,FarHighNarrow,0.1
76,10160364,10161344,2,FarHighNarrow,0.07943282347242815
76,10162214,10163328,3,ThreeLinesControl,0.1
76,10164067,10164968,4,FarLowWide,0.1
76,10165917,10166888,5,FarLowNarrow,0.1
76,10167767,10168688,6,ThreeLinesControl,0.07943282347242815
76,10169620,10170672,7,FarHighWide,0.07943282347242815
76,10171472,10172425,8,FarLowNarrow,0.07943282347242815
76,10173320,10174233,9,FarHighWide,0.06309573444801932
76,10175170,10176169,10,Constant,0.1
76,10177020,10177905,11,ThreeLinesControl,0.06309573444801932
76,10178873,10179753,12,FarHighWide,0.05011872336272722
76,10180721,10181649,13,FarLowWide,0.07943282347242815
76,10182574,10183489,14,FarLowNarrow,0.06309573444801932
76,10184412,10185273,15,Constant,0.07943282347242815
76,10186248,10186993,16,FarHighWide,0.03981071705534971
76,10188080,10188930,17,ThreeLinesControl,0.05011872336272722
76,10189935,10190722,18,FarHighWide_null,0.1
76,10191782,10192762,19,FarLowWide_null,0.1
76,10193633,10194682,20,FarHighWide,0.031622776601683784
76,10195486,10196410,21,FarHighNarrow,0.06309573444801932
76,10197336,10198243,22,Constant,0.06309573444801932
76,10199189,10200218,23,FarHighNarrow_null,0.1
76,10201040,10202059,24,FarLowNarrow,0.05011872336272722
76,10202887,10203803,25,FarHighNarrow,0.05011872336272722
76,10204739,10205659,26,FarHighNarrow,0.03981071705534971
76,10206589,10207515,27,FarLowWide_null,0.07943282347242815
76,10208441,10209339,28,ThreeLinesControl,0.03981071705534971
76,10210290,10211436,29,FarHighWide,0.02511886431509579
76,10212141,10213020,30,FarLowNarrow_null,0.1
76,10213974,10214772,31,ThreeLinesControl,0.031622776601683784
76,10215807,10216724,32,FarHighNarrow,0.031622776601683784
76,10217642,10218428,33,FarHighNarrow,0.02511886431509579
76,10219486,10220372,34,FarHighNarrow,0.01995262314968879
76,10221336,10222148,35,FarLowWide,0.06309573444801932
76,10223186,10223964,36,Constant,0.05011872336272722
76,10225041,10225957,37,FarLowWide,0.05011872336272722
76,10226889,10227837,38,FarHighWide,0.01995262314968879
76,10228743,10229669,39,FarHighNarrow,0.015848931924611127
76,10230589,10231421,40,FarLowNarrow,0.03981071705534971
76,10232444,10233421,41,Constant,0.03981071705534971
76,10234291,10235189,42,FarLowNarrow,0.031622776601683784
76,10236146,10237030,43,FarHighWide,0.015848931924611127
76,10237995,10239790,44,ThreeLinesControl,0.02511886431509579
76,10239844,10240798,45,FarHighNarrow,0.01995262314968879
76,10241692,10242774,46,FarLowNarrow,0.02511886431509579
76,10243542,10244390,47,Constant,0.031622776601683784
76,10245377,10246246,48,Constant,0.02511886431509579
76,10247218,10248031,49,Constant,0.01995262314968879
76,10249057,10249894,50,FarHighWide,0.012589254117941666
76,10250908,10251679,51,Constant,0.015848931924611127
76,10252756,10253551,52,Constant,0.012589254117941666
76,10254608,10255535,53,FarLowWide,0.03981071705534971
76,10256457,10257215,54,FarHighNarrow_null,0.07943282347242815
76,10258338,10259215,55,FarLowNarrow,0.01995262314968879
76,10260195,10261232,56,ThreeLinesControl_null,0.1
76,10262044,10262968,57,FarLowWide,0.031622776601683784
76,10263894,10264720,58,ThreeLinesControl,0.031622776601683784
76,10265745,10266688,59,ThreeLinesControl,0.02511886431509579
76,10267597,10268536,60,ThreeLinesControl,0.01995262314968879
76,10269443,10270576,61,FarHighWide,0.009999999999999995
76,10271295,10272280,62,ThreeLinesControl_null,0.07943282347242815
76,10273149,10274153,63,FarLowNarrow,0.025118864315095794
76,10274987,10276049,64,Constant,0.009999999999999995
76,10276821,10277713,65,FarHighNarrow,0.015848931924611127
76,10278655,10279633,66,FarLowNarrow,0.01995262314968879
76,10280509,10281417,67,Constant,0.00794328234724281
76,10282358,10283369,68,Constant,0.009999999999999995
76,10284211,10285385,69,FarHighWide,0.012589254117941666
76,10286061,10287250,70,FarLowWide,0.02511886431509579
76,10287911,10289066,71,FarHighWide_null,0.1
76,10289764,10290722,72,FarHighNarrow,0.012589254117941666
76,10291612,10292490,73,FarHighNarrow,0.009999999999999995
76,10293463,10294498,74,FarHighNarrow,0.00794328234724281
76,10295313,10296274,75,FarLowWide,0.01995262314968879
76,10297165,10298058,76,FarLowWide,0.025118864315095794
76,10299015,10300011,77,Constant,0.012589254117941666
76,10300866,10301947,78,FarHighWide,0.015848931924611127
76,10302716,10303587,79,ThreeLinesControl,0.025118864315095794
76,10304549,10305563,80,Constant,0.015848931924611127
76,10306390,10307211,81,FarLowWide,0.031622776601683784
76,10308214,10309075,82,FarLowNarrow,0.015848931924611127
76,10310062,10311124,83,FarHighWide,0.012589254117941666
76,10311909,10312996,84,FarLowNarrow,0.012589254117941666
76,10313764,10314844,85,FarHighWide_null,0.07943282347242815
76,10315615,10316692,86,FarHighWide,0.009999999999999995
76,10317463,10318428,87,ThreeLinesControl,0.01995262314968879
76,10319314,10320620,88,ThreeLinesControl,0.015848931924611127
76,10321166,10322116,89,FarLowNarrow,0.015848931924611127
76,10323016,10324117,90,FarHighWide,0.012589254117941666
76,10324867,10325909,91,FarHighWide,0.009999999999999995
76,10326718,10327773,92,FarLowNarrow,0.012589254117941666
76,10328566,10329549,93,FarLowNarrow,0.009999999999999995
76,10330407,10331397,94,ThreeLinesControl,0.01995262314968879
76,10332250,10333237,95,ThreeLinesControl,0.025118864315095794
76,10334093,10335150,96,Constant_null,0.1
76,10335944,10336950,97,FarLowNarrow,0.012589254117941666
76,10337794,10338734,98,FarLowWide,0.02511886431509579
76,10339647,10340822,99,ThreeLinesControl,0.01995262314968879
76,10341497,10342710,100,FarLowNarrow,0.009999999999999995
76,10343346,10344486,101,FarHighWide,0.00794328234724281
76,10345199,10346150,102,FarHighNarrow,0.009999999999999995
76,10347048,10347934,103,FarLowNarrow,0.012589254117941666
76,10348902,10349927,104,FarHighNarrow,0.00794328234724281
76,10350751,10351727,105,FarHighNarrow,0.009999999999999995
76,10352603,10353591,106,FarHighWide,0.0063095734448019285
76,10354451,10355335,107,ThreeLinesControl,0.015848931924611127
76,10356300,10357279,108,FarLowNarrow,0.009999999999999995
76,10358153,10358999,109,FarHighNarrow,0.012589254117941666
76,10359984,10360927,110,ThreeLinesControl,0.01995262314968879
76,10361822,10362928,111,FarLowNarrow,0.00794328234724281
