0.9304 	WARNING 	Import Error: dlopen(/Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/PsychHID.abi3.so, 2): Symbol not found: ____chkstk_darwin
  Referenced from: /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib (which was built for Mac OS X 11.0)
  Expected in: /usr/lib/libSystem.B.dylib
 in /Applications/PsychoPy.app/Contents/Resources/lib/python3.10/psychtoolbox/.dylibs/libusb-1.0.0.dylib. Using event module for keyboard component.
5.1357 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
9.9339 	DATA 	Keypress: right
10.3412 	DATA 	Keypress: right
12.5732 	DATA 	Keypress: right
15.2292 	DATA 	Keypress: right
17.6611 	DATA 	Keypress: right
20.2211 	DATA 	Keypress: right
22.6852 	DATA 	Keypress: right
25.2053 	DATA 	Keypress: right
27.8612 	DATA 	Keypress: right
30.4852 	DATA 	Keypress: right
32.3973 	DATA 	Keypress: right
32.9813 	DATA 	Keypress: right
35.5493 	DATA 	Keypress: right
38.1820 	DATA 	Keypress: right
40.3493 	DATA 	Keypress: left
43.1413 	DATA 	Keypress: right
45.7013 	DATA 	Keypress: right
48.6452 	DATA 	Keypress: right
50.8932 	DATA 	Keypress: right
53.3894 	DATA 	Keypress: right
55.8932 	DATA 	Keypress: right
58.5412 	DATA 	Keypress: right
61.0613 	DATA 	Keypress: left
66.5441 	DATA 	Keypress: right
82.2776 	DATA 	Keypress: right
91.3335 	DATA 	Keypress: right
91.3338 	DATA 	Trial 0 begins: FarLowWide_null | 0.1
91.5669 	DATA 	Stim Appears
91.7830 	DATA 	Stim Disappears
92.3495 	DATA 	Keypress: left
93.0833 	DATA 	Trial 1 begins: FarHighWide | 0.1
93.3160 	DATA 	Stim Appears
93.5329 	DATA 	Stim Disappears
94.0214 	DATA 	Keypress: right
94.8332 	DATA 	Trial 2 begins: Constant | 0.1
95.0685 	DATA 	Stim Appears
95.2853 	DATA 	Stim Disappears
95.9095 	DATA 	Keypress: right
96.5856 	DATA 	Trial 3 begins: Constant_null | 0.1
96.8184 	DATA 	Stim Appears
97.0352 	DATA 	Stim Disappears
97.8695 	DATA 	Keypress: left
98.3356 	DATA 	Trial 4 begins: FarHighWide | 0.07943282347242815
98.5688 	DATA 	Stim Appears
98.7859 	DATA 	Stim Disappears
99.5655 	DATA 	Keypress: right
100.0861 	DATA 	Trial 5 begins: Constant | 0.07943282347242815
100.4027 	DATA 	Stim Appears
100.6186 	DATA 	Stim Disappears
101.1975 	DATA 	Keypress: right
101.9189 	DATA 	Trial 6 begins: Constant | 0.06309573444801932
102.1526 	DATA 	Stim Appears
102.3685 	DATA 	Stim Disappears
103.3335 	DATA 	Keypress: left
103.6687 	DATA 	Trial 7 begins: FarHighWide | 0.06309573444801932
103.9020 	DATA 	Stim Appears
104.1188 	DATA 	Stim Disappears
105.1814 	DATA 	Keypress: left
105.4191 	DATA 	Trial 8 begins: Constant | 0.07943282347242814
105.6524 	DATA 	Stim Appears
105.8692 	DATA 	Stim Disappears
106.4136 	DATA 	Keypress: right
107.1694 	DATA 	Trial 9 begins: FarHighNarrow | 0.1
107.4019 	DATA 	Stim Appears
107.6187 	DATA 	Stim Disappears
108.2855 	DATA 	Keypress: right
108.9190 	DATA 	Trial 10 begins: Constant | 0.07943282347242814
109.1444 	DATA 	Stim Appears
109.3527 	DATA 	Stim Disappears
109.9895 	DATA 	Keypress: right
110.6529 	DATA 	Trial 11 begins: Constant | 0.07943282347242814
110.8851 	DATA 	Stim Appears
111.0943 	DATA 	Stim Disappears
111.6696 	DATA 	Keypress: right
112.3945 	DATA 	Trial 12 begins: FarHighWide | 0.07943282347242814
112.6275 	DATA 	Stim Appears
112.8359 	DATA 	Stim Disappears
113.5015 	DATA 	Keypress: right
114.1360 	DATA 	Trial 13 begins: FarLowWide | 0.1
114.3637 	DATA 	Stim Appears
114.5805 	DATA 	Stim Disappears
115.1415 	DATA 	Keypress: right
115.8808 	DATA 	Trial 14 begins: FarHighNarrow_null | 0.1
116.1137 	DATA 	Stim Appears
116.3305 	DATA 	Stim Disappears
116.8934 	DATA 	Keypress: right
117.6307 	DATA 	Trial 15 begins: FarHighWide | 0.07943282347242814
117.8641 	DATA 	Stim Appears
118.0809 	DATA 	Stim Disappears
118.7335 	DATA 	Keypress: right
119.3811 	DATA 	Trial 16 begins: FarHighWide | 0.07943282347242814
119.6166 	DATA 	Stim Appears
119.8330 	DATA 	Stim Disappears
120.4935 	DATA 	Keypress: right
121.1332 	DATA 	Trial 17 begins: FarLowNarrow | 0.1
121.3663 	DATA 	Stim Appears
121.5831 	DATA 	Stim Disappears
122.0854 	DATA 	Keypress: right
122.8833 	DATA 	Trial 18 begins: FarHighWide | 0.06309573444801932
123.1160 	DATA 	Stim Appears
123.3327 	DATA 	Stim Disappears
123.8614 	DATA 	Keypress: right
124.6330 	DATA 	Trial 19 begins: Constant | 0.06309573444801932
124.8683 	DATA 	Stim Appears
125.0852 	DATA 	Stim Disappears
125.5654 	DATA 	Keypress: right
126.3854 	DATA 	Trial 20 begins: Constant | 0.06309573444801932
126.6193 	DATA 	Stim Appears
126.8352 	DATA 	Stim Disappears
127.3415 	DATA 	Keypress: right
128.1354 	DATA 	Trial 21 begins: FarLowNarrow | 0.07943282347242815
128.3687 	DATA 	Stim Appears
128.5860 	DATA 	Stim Disappears
129.1255 	DATA 	Keypress: right
129.8863 	DATA 	Trial 22 begins: FarHighWide | 0.06309573444801932
130.1188 	DATA 	Stim Appears
130.3357 	DATA 	Stim Disappears
130.8134 	DATA 	Keypress: right
131.6359 	DATA 	Trial 23 begins: FarHighNarrow | 0.07943282347242815
131.8692 	DATA 	Stim Appears
132.0851 	DATA 	Stim Disappears
132.5575 	DATA 	Keypress: right
133.3854 	DATA 	Trial 24 begins: FarLowNarrow | 0.06309573444801932
133.6184 	DATA 	Stim Appears
133.8353 	DATA 	Stim Disappears
134.3415 	DATA 	Keypress: right
135.1356 	DATA 	Trial 25 begins: Constant | 0.06309573444801932
135.3689 	DATA 	Stim Appears
135.5858 	DATA 	Stim Disappears
136.0055 	DATA 	Keypress: right
136.8860 	DATA 	Trial 26 begins: Constant | 0.05011872336272722
137.1191 	DATA 	Stim Appears
137.3359 	DATA 	Stim Disappears
137.7734 	DATA 	Keypress: right
138.6362 	DATA 	Trial 27 begins: FarHighWide_null | 0.1
138.8613 	DATA 	Stim Appears
139.0683 	DATA 	Stim Disappears
139.5574 	DATA 	Keypress: left
140.3686 	DATA 	Trial 28 begins: FarLowWide | 0.07943282347242815
140.6021 	DATA 	Stim Appears
140.8115 	DATA 	Stim Disappears
141.2615 	DATA 	Keypress: right
142.1118 	DATA 	Trial 29 begins: FarLowWide | 0.06309573444801932
142.3440 	DATA 	Stim Appears
142.5522 	DATA 	Stim Disappears
143.2535 	DATA 	Keypress: right
143.8525 	DATA 	Trial 30 begins: FarHighWide | 0.06309573444801932
144.0807 	DATA 	Stim Appears
144.2979 	DATA 	Stim Disappears
145.1015 	DATA 	Keypress: right
145.5982 	DATA 	Trial 31 begins: FarLowNarrow | 0.05011872336272722
145.8305 	DATA 	Stim Appears
146.0475 	DATA 	Stim Disappears
146.5575 	DATA 	Keypress: right
147.3478 	DATA 	Trial 32 begins: FarLowNarrow | 0.03981071705534971
147.5811 	DATA 	Stim Appears
147.7969 	DATA 	Stim Disappears
148.2935 	DATA 	Keypress: right
149.0971 	DATA 	Trial 33 begins: FarLowWide | 0.05011872336272722
149.3335 	DATA 	Stim Appears
149.5504 	DATA 	Stim Disappears
150.0855 	DATA 	Keypress: right
150.8506 	DATA 	Trial 34 begins: FarHighNarrow_null | 0.1
151.0836 	DATA 	Stim Appears
151.3005 	DATA 	Stim Disappears
151.9815 	DATA 	Keypress: left
