Participant_Number,Trial_Number,Condition,FCfar,FCmed,FCclose,Target_Contrast,Correct_Response,Reaction_Time
88,0,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.5186651539988816
88,1,FarHighWide_null,0.5,0.25,0.03,0.1,0,0.6499639249959728
88,2,FarHighNarrow,0.2,0.15,0.1,0.1,1,0.4478785749961389
88,3,FarHighNarrow,0.2,0.15,0.1,0.07943282347242815,1,0.2979856580059277
88,4,Constant,0.1,0.1,0.1,0.1,1,0.24018795099982526
88,5,FarLowWide,0.03,0.25,0.5,0.1,1,0.14265929801331367
88,6,Constant,0.1,0.1,0.1,0.07943282347242815,1,0.1316110860061599
88,7,FarHighWide,0.5,0.25,0.03,0.1,1,0.14554670298821293
88,8,FarLowWide_null,0.03,0.25,0.5,0.1,0,0.1197059830010403
88,9,Constant,0.1,0.1,0.1,0.06309573444801932,1,0.2616313979960978
88,10,FarLowWide,0.03,0.25,0.5,0.07943282347242815,1,0.14031966299808118
88,11,Constant,0.1,0.1,0.1,0.05011872336272722,1,0.20206864501233213
88,12,FarLowNarrow,0.1,0.15,0.2,0.1,1,0.16086332699342165
88,13,FarHighWide,0.5,0.25,0.03,0.07943282347242815,1,0.17562324900063686
88,14,FarLowNarrow,0.1,0.15,0.2,0.07943282347242815,1,0.13152119501319248
88,15,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.13754512601008173
88,16,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.10382754700549413
88,17,FarLowWide_null,0.03,0.25,0.5,0.1,0,0.09884890599641949
88,18,Constant,0.1,0.1,0.1,0.031622776601683784,1,0.0811634789861273
88,19,FarLowNarrow_null,0.1,0.15,0.2,0.1,0,0.13526001099671703
88,20,FarHighWide,0.5,0.25,0.03,0.06309573444801932,1,0.14644936299009714
88,21,FarLowNarrow_null,0.1,0.15,0.2,0.1,1,0.056646144003025256
88,22,Constant,0.1,0.1,0.1,0.02511886431509579,0,0.10181530499539804
88,23,FarHighWide,0.5,0.25,0.03,0.05011872336272722,1,0.06788504499127157
88,24,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,0,99
88,25,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,0,99
88,26,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,0,99
88,27,ThreeLinesControl,0.0,0.0,0.1,0.1,1,0.0524751000048127
88,28,FarLowWide,0.03,0.25,0.5,0.06309573444801932,1,0.05120115799945779
88,29,ThreeLinesControl,0.0,0.0,0.1,0.07943282347242815,1,0.11353299500478897
88,30,FarLowNarrow,0.1,0.15,0.2,0.07943282347242814,1,0.16785951600468252
88,31,FarLowNarrow_null,0.1,0.15,0.2,0.07943282347242815,0,0.10006487499049399
88,32,Constant,0.1,0.1,0.1,0.031622776601683784,0,99
88,33,ThreeLinesControl,0.0,0.0,0.1,0.06309573444801932,1,0.03629064800043125
88,34,Constant,0.1,0.1,0.1,0.03981071705534971,0,0.02698414900805801
88,35,FarLowWide,0.03,0.25,0.5,0.05011872336272722,1,0.08043717801047023
88,36,FarHighWide,0.5,0.25,0.03,0.03981071705534971,1,0.0917182979901554
88,37,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272722,1,0.0497001190087758
88,38,ThreeLinesControl,0.0,0.0,0.1,0.03981071705534971,1,0.13594956700399052
88,39,ThreeLinesControl_null,0.0,0.0,0.1,0.1,0,0.1739920130057726
88,40,FarHighNarrow,0.2,0.15,0.1,0.06309573444801932,1,0.1001362609968055
88,41,FarLowNarrow_null,0.1,0.15,0.2,0.1,0,0.12245035399973858
88,42,FarHighNarrow,0.2,0.15,0.1,0.05011872336272722,1,0.055746931000612676
88,43,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.0702250189933693
88,44,Constant,0.1,0.1,0.1,0.05011872336272721,1,0.24514410700066946
88,45,Constant_null,0.1,0.1,0.1,0.1,1,0.13888872099050786
88,46,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,0,0.0818036150012631
88,47,FarLowWide,0.03,0.25,0.5,0.03981071705534971,0,99
88,48,ThreeLinesControl,0.0,0.0,0.1,0.031622776601683784,0,99
88,49,FarHighWide_null,0.5,0.25,0.03,0.1,0,99
88,50,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,0,99
88,51,ThreeLinesControl,0.0,0.0,0.1,0.03981071705534971,0,99
88,52,FarLowNarrow,0.1,0.15,0.2,0.07943282347242814,1,0.1262325179995969
88,53,FarLowNarrow,0.1,0.15,0.2,0.06309573444801932,1,0.17220132000511512
88,54,ThreeLinesControl,0.0,0.0,0.1,0.05011872336272721,1,0.1775707299966598
88,55,FarHighWide,0.5,0.25,0.03,0.031622776601683784,0,0.10353572000167333
88,56,FarHighNarrow,0.2,0.15,0.1,0.03981071705534971,1,0.11773199700110126
88,57,FarLowNarrow,0.1,0.15,0.2,0.05011872336272722,0,0.06838753400370479
88,58,Constant,0.1,0.1,0.1,0.03981071705534971,1,0.15390647400636226
88,59,FarLowWide,0.03,0.25,0.5,0.05011872336272721,1,0.22418191900942475
88,60,FarHighNarrow,0.2,0.15,0.1,0.031622776601683784,0,0.14224876000662334
88,61,ThreeLinesControl,0.0,0.0,0.1,0.03981071705534971,0,99
88,62,FarHighWide,0.5,0.25,0.03,0.03981071705534971,0,99
88,63,FarHighWide,0.5,0.25,0.03,0.05011872336272721,1,0.03870270200422965
88,64,Constant,0.1,0.1,0.1,0.031622776601683784,1,0.06860362600127701
